index,latency_ms
1,0.000791000
2,0.000599000
3,0.001593000
4,0.000612000
5,0.000356000
6,0.000327000
7,0.000389000
8,0.000398000
9,0.000393000
10,0.000327000
11,0.000336000
12,0.000334000
13,0.000334000
14,0.000341000
15,0.000354000
16,0.000368000
17,0.000335000
18,0.000364000
19,0.000339000
20,0.000335000
21,0.000334000
22,0.000354000
23,0.000331000
24,0.000330000
25,0.000337000
26,0.000334000
27,0.000342000
28,0.000340000
29,0.000331000
30,0.000367000
31,0.000329000
32,0.000333000
33,0.000341000
34,0.000358000
35,0.000358000
36,0.000330000
37,0.000335000
38,0.000336000
39,0.000337000
40,0.000335000
